Point: ,121-0243,,,,,
Location: ,"33.751904, -84.394775",,,,,
Road-Type: ,Minor Arterial,,,,,
Day: ,Wed,Thu,Fri,Mon,Tue,Wed
Date:,2023-02-15,2023-02-16,2023-02-17,2025-10-20,2025-10-21,2025-10-22
0:00:00 (V),,44,57,,36,36
1:00:00 (V),,30,29,,37,18
2:00:00 (V),,30,34,,28,32
3:00:00 (V),19,23,,,28,25
4:00:00 (V),25,41,,,28,26
5:00:00 (V),51,68,,,43,52
6:00:00 (V),89,82,,,91,97
7:00:00 (V),170,152,,,148,180
8:00:00 (V),217,198,,,259,237
9:00:00 (V),195,207,,,334,265
10:00:00 (V),141,184,,,259,250
11:00:00 (V),197,177,,,192,194
12:00:00 (V),247,235,,,291,181
13:00:00 (V),258,241,,,264,135
14:00:00 (V),240,230,,,221,219
15:00:00 (V),204,248,,,225,229
16:00:00 (V),209,223,,,231,237
17:00:00 (V),211,208,,,250,253
18:00:00 (V),197,203,,,189,212
19:00:00(V),204,165,,,115,236
20:00:00 (V),137,100,,106,122,0
21:00:00 (V),477,118,,135,105,
22:00:00 (V),611,90,,71,88,
23:00:00 (V),132,83,,74,52,
,,,,,,
12:00:00 (C),,,,,1:28:4:2:1:0:0:0:0:0:0:0:0:0:0,0:25:7:2:2:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,,,,0:28:9:0:0:0:0:0:0:0:0:0:0:0:0,1:14:1:0:2:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,,,,0:23:5:0:0:0:0:0:0:0:0:0:0:0:0,1:25:4:0:2:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,,,,0:18:10:0:0:0:0:0:0:0:0:0:0:0:0,1:18:2:3:1:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,,,,0:19:5:4:0:0:0:0:0:0:0:0:0:0:0,1:21:0:2:2:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),,,,,1:28:7:3:1:3:0:0:0:0:0:0:0:0:0,1:37:7:6:1:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),,,,,1:64:16:5:4:1:0:0:0:0:0:0:0:0:0,0:74:13:5:2:2:1:0:0:0:0:0:0:0:0
7:00:00 (C),,,,,2:116:18:8:3:1:0:0:0:0:0:0:0:0:0,2:142:20:8:4:1:0:3:0:0:0:0:0:0:0
8:00:00 (C),,,,,7:204:39:3:3:2:0:1:0:0:0:0:0:0:0,6:193:25:5:4:2:0:0:0:1:0:0:1:0:0
9:00:00 (C),,,,,1:291:25:4:10:1:0:2:0:0:0:0:0:0:0,2:225:21:4:11:0:0:2:0:0:0:0:0:0:0
10:00:00 (C),,,,,3:218:31:0:4:1:0:2:0:0:0:0:0:0:0,3:212:26:2:7:0:0:0:0:0:0:0:0:0:0
11:00:00 (C),,,,,6:151:27:1:6:1:0:0:0:0:0:0:0:0:0,0:152:31:2:5:3:0:1:0:0:0:0:0:0:0
12:00:00 (C),,,,,4:250:28:0:5:3:1:0:0:0:0:0:0:0:0,4:148:21:0:4:3:0:1:0:0:0:0:0:0:0
13:00:00 (C),,,,,5:233:22:0:4:0:0:0:0:0:0:0:0:0:0,5:109:16:0:3:2:0:0:0:0:0:0:0:0:0
14:00:00 (C),,,,,6:174:34:2:4:1:0:0:0:0:0:0:0:0:0,3:192:19:2:2:0:0:0:1:0:0:0:0:0:0
15:00:00 (C),,,,,4:178:36:1:4:1:0:0:1:0:0:0:0:0:0,2:185:27:2:9:3:1:0:0:0:0:0:0:0:0
16:00:00 (C),,,,,4:190:29:1:6:0:0:1:0:0:0:0:0:0:0,6:185:31:5:9:1:0:0:0:0:0:0:0:0:0
17:00:00 (C),,,,,2:209:31:1:6:1:0:0:0:0:0:0:0:0:0,3:219:27:2:0:0:0:1:0:0:0:0:1:0:0
18:00:00 (C),,,,,1:161:22:1:2:0:0:2:0:0:0:0:0:0:0,6:176:29:0:1:0:0:0:0:0:0:0:0:0:0
19:00:00(C),,,,,3:96:13:1:2:0:0:0:0:0:0:0:0:0:0,0:206:29:0:0:0:0:1:0:0:0:0:0:0:0
20:00:00 (C),,,,0:94:9:0:3:0:0:0:0:0:0:0:0:0:0,2:100:17:2:1:0:0:0:0:0:0:0:0:0:0,
21:00:00 (C),,,,3:121:6:0:4:0:0:1:0:0:0:0:0:0:0,0:86:18:0:1:0:0:0:0:0:0:0:0:0:0,
22:00:00 (C),,,,3:60:7:1:0:0:0:0:0:0:0:0:0:0:0,1:72:14:0:0:0:0:0:1:0:0:0:0:0:0,
23:00:00 (C),,,,2:61:9:2:0:0:0:0:0:0:0:0:0:0:0,1:41:7:2:1:0:0:0:0:0:0:0:0:0:0,
