Point: ,121-5218,,,,,,
Location: ,"33.73293314, -84.41325645",,,,,,
Road-Type: ,Minor Arterial,,,,,,
Day: ,Tue,Wed,Tue,Wed,Thu,Wed,Thu
Date:,2023-04-11,2023-04-12,2023-05-30,2023-05-31,2023-06-01,2024-01-03,2024-01-04
0:00:00 (V),92,103,,98,125,63,87
1:00:00 (V),55,74,,59,71,49,71
2:00:00 (V),39,66,,54,48,49,53
3:00:00 (V),33,42,,37,38,42,39
4:00:00 (V),59,46,,39,45,44,52
5:00:00 (V),133,128,,104,111,113,148
6:00:00 (V),292,310,,289,289,302,356
7:00:00 (V),966,873,,775,692,630,712
8:00:00 (V),1201,1142,,938,863,754,943
9:00:00 (V),862,958,,614,518,491,555
10:00:00 (V),638,540,,518,587,398,410
11:00:00 (V),516,478,,475,525,440,415
12:00:00 (V),548,497,,479,585,419,480
13:00:00 (V),539,598,,547,623,477,522
14:00:00 (V),699,705,,635,617,560,596
15:00:00 (V),912,874,,782,890,715,775
16:00:00 (V),1243,1190,957,1074,0,897,897
17:00:00 (V),1395,1308,894,1135,,881,852
18:00:00 (V),1119,1152,714,899,,656,794
19:00:00(V),566,675,427,489,,376,432
20:00:00 (V),408,403,299,361,,307,249
21:00:00 (V),275,315,263,322,,254,231
22:00:00 (V),242,268,235,324,,198,189
23:00:00 (V),156,155,164,170,,164,158
,,,,,,,
12:00:00 (C),1:79:9:0:1:1:0:0:1:0:0:0:0:0:0,0:89:13:0:1:0:0:0:0:0:0:0:0:0:0,,0:78:15:0:3:0:0:0:1:1:0:0:0:0:0,0:111:13:0:0:0:0:0:1:0:0:0:0:0:0,0:53:8:0:1:0:0:0:1:0:0:0:0:0:0,0:81:6:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),0:47:8:0:0:0:0:0:0:0:0:0:0:0:0,0:58:14:0:2:0:0:0:0:0:0:0:0:0:0,,0:52:6:0:0:1:0:0:0:0:0:0:0:0:0,1:64:5:0:1:0:0:0:0:0:0:0:0:0:0,0:46:2:0:1:0:0:0:0:0:0:0:0:0:0,0:66:4:0:1:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),1:31:7:0:0:0:0:0:0:0:0:0:0:0:0,0:60:4:0:0:1:0:1:0:0:0:0:0:0:0,,2:44:5:0:2:0:0:0:1:0:0:0:0:0:0,0:42:5:0:0:0:0:0:1:0:0:0:0:0:0,0:46:3:0:0:0:0:0:0:0:0:0:0:0:0,0:50:2:0:0:0:0:0:1:0:0:0:0:0:0
3:00:00 (C),1:28:4:0:0:0:0:0:0:0:0:0:0:0:0,1:38:0:0:1:2:0:0:0:0:0:0:0:0:0,,2:28:6:0:1:0:0:0:0:0:0:0:0:0:0,1:31:5:0:1:0:0:0:0:0:0:0:0:0:0,0:39:2:0:1:0:0:0:0:0:0:0:0:0:0,0:30:5:1:3:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),2:44:7:0:5:0:0:0:1:0:0:0:0:0:0,0:41:3:1:1:0:0:0:0:0:0:0:0:0:0,,1:30:4:0:4:0:0:0:0:0:0:0:0:0:0,1:36:6:0:2:0:0:0:0:0:0:0:0:0:0,0:40:2:0:1:1:0:0:0:0:0:0:0:0:0,1:45:1:0:5:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),0:124:7:0:2:0:0:0:0:0:0:0:0:0:0,0:113:12:0:1:1:0:0:1:0:0:0:0:0:0,,0:91:12:0:1:0:0:0:0:0:0:0:0:0:0,0:91:14:0:5:0:0:0:1:0:0:0:0:0:0,0:98:10:0:4:1:0:0:0:0:0:0:0:0:0,0:120:16:0:12:0:0:0:0:0:0:0:0:0:0
