Point: ,121-5240,
Location: ,"33.72572, -84.39158",
Road-Type: ,Minor Arterial,
Day: ,Tue,Wed
Date:,2025-08-26,2025-08-27
0:00:00 (V),40,37
1:00:00 (V),29,26
2:00:00 (V),9,24
3:00:00 (V),14,17
4:00:00 (V),20,29
5:00:00 (V),43,39
6:00:00 (V),124,127
7:00:00 (V),288,298
8:00:00 (V),373,361
9:00:00 (V),210,219
10:00:00 (V),155,163
11:00:00 (V),144,127
12:00:00 (V),196,187
13:00:00 (V),228,217
14:00:00 (V),237,239
15:00:00 (V),237,266
16:00:00 (V),343,368
17:00:00 (V),339,350
18:00:00 (V),241,186
19:00:00(V),171,216
20:00:00 (V),125,122
21:00:00 (V),106,107
22:00:00 (V),73,89
23:00:00 (V),67,66
,,
12:00:00 (C),0:34:3:2:1:0:0:0:0:0:0:0:0:0:0,0:27:6:1:3:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),0:24:3:1:0:0:0:0:1:0:0:0:0:0:0,0:17:5:0:2:1:0:0:1:0:0:0:0:0:0
2:00:00 (C),0:7:2:0:0:0:0:0:0:0:0:0:0:0:0,0:16:1:1:1:1:0:1:3:0:0:0:0:0:0
3:00:00 (C),0:12:2:0:0:0:0:0:0:0:0:0:0:0:0,0:14:1:0:2:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),0:16:2:1:0:0:0:0:1:0:0:0:0:0:0,0:24:0:0:3:0:0:1:1:0:0:0:0:0:0
5:00:00 (C),0:22:5:10:1:0:0:1:4:0:0:0:0:0:0,0:22:5:4:3:0:0:1:4:0:0:0:0:0:0
6:00:00 (C),2:94:13:5:4:0:0:0:6:0:0:0:0:0:0,0:98:11:6:6:1:0:0:5:0:0:0:0:0:0
7:00:00 (C),0:246:22:7:7:1:0:0:5:0:0:0:0:0:0,0:242:29:12:7:1:0:3:4:0:0:0:0:0:0
8:00:00 (C),2:310:25:10:15:7:0:2:2:0:0:0:0:0:0,0:315:24:5:9:5:0:0:3:0:0:0:0:0:0
9:00:00 (C),0:146:30:8:11:8:0:2:5:0:0:0:0:0:0,0:168:29:7:8:4:0:0:3:0:0:0:0:0:0
10:00:00 (C),1:107:21:6:7:3:1:1:8:0:0:0:0:0:0,1:126:12:7:10:3:0:0:4:0:0:0:0:0:0
11:00:00 (C),2:95:23:5:8:3:0:3:5:0:0:0:0:0:0,1:86:19:2:8:2:0:2:7:0:0:0:0:0:0
12:00:00 (C),1:146:27:4:7:3:0:0:8:0:0:0:0:0:0,1:139:20:5:10:1:0:0:11:0:0:0:0:0:0
13:00:00 (C),1:168:24:10:8:4:0:1:12:0:0:0:0:0:0,0:153:34:8:8:2:0:2:10:0:0:0:0:0:0
14:00:00 (C),0:168:33:3:18:4:0:2:9:0:0:0:0:0:0,0:184:26:1:15:3:0:1:9:0:0:0:0:0:0
15:00:00 (C),1:167:30:7:16:6:0:0:10:0:0:0:0:0:0,2:175:49:3:19:6:0:2:10:0:0:0:0:0:0
16:00:00 (C),2:263:39:10:18:4:0:1:6:0:0:0:0:0:0,0:271:51:12:19:4:0:2:9:0:0:0:0:0:0
17:00:00 (C),1:261:42:13:11:2:0:3:6:0:0:0:0:0:0,2:279:28:8:19:2:0:4:7:1:0:0:0:0:0
18:00:00 (C),3:200:23:5:6:1:0:0:3:0:0:0:0:0:0,0:146:22:7:9:1:0:0:1:0:0:0:0:0:0
19:00:00(C),1:139:18:7:3:1:0:0:2:0:0:0:0:0:0,2:182:20:6:0:2:0:0:4:0:0:0:0:0:0
20:00:00 (C),3:102:7:4:3:0:0:1:5:0:0:0:0:0:0,1:88:19:5:8:0:0:0:1:0:0:0:0:0:0
21:00:00 (C),0:96:3:3:1:0:0:0:2:0:0:1:0:0:0,0:82:15:5:2:0:0:1:2:0:0:0:0:0:0
22:00:00 (C),0:53:5:7:6:0:0:0:2:0:0:0:0:0:0,0:64:11:5:1:0:0:1:6:0:1:0:0:0:0
23:00:00 (C),0:52:7:3:1:1:0:1:2:0:0:0:0:0:0,0:48:8:4:3:0:0:0:3:0:0:0:0:0:0
