Point: ,121-5590,,,,
Location: ,"33.74512, -84.368131",,,,
Road-Type: ,Minor Arterial,,,,
Day: ,Tue,Wed,Thu,Tue,Wed
Date:,2023-09-12,2023-09-13,2023-09-14,2025-10-21,2025-10-22
0:00:00 (V),,193,195,149,133
1:00:00 (V),,124,139,89,83
2:00:00 (V),,99,88,60,58
3:00:00 (V),,66,56,43,44
4:00:00 (V),,79,88,84,75
5:00:00 (V),,196,162,174,187
6:00:00 (V),,879,441,604,672
7:00:00 (V),,1087,888,1286,1312
8:00:00 (V),,1133,687,1126,1220
9:00:00 (V),,989,817,1069,1085
10:00:00 (V),,946,795,840,935
11:00:00 (V),,1115,771,865,903
12:00:00 (V),,1202,891,1005,1015
13:00:00 (V),,1010,938,1079,1086
14:00:00 (V),,1218,1201,1377,1288
15:00:00 (V),,1435,1300,1575,1559
16:00:00 (V),1832,1652,0,1704,1773
17:00:00 (V),1845,1569,,1923,1763
18:00:00 (V),1664,1510,,1509,1645
19:00:00(V),1474,1335,,1146,1337
20:00:00 (V),1014,1035,,784,931
21:00:00 (V),655,755,,532,732
22:00:00 (V),480,569,,399,677
23:00:00 (V),353,341,,302,362
,,,,,
12:00:00 (C),,1:176:15:0:1:0:0:0:0:0:0:0:0:0:0,1:177:11:1:3:1:1:0:0:0:0:0:0:0:0,,
1:00:00 (C),,2:113:8:0:1:0:0:0:0:0:0:0:0:0:0,2:123:12:0:2:0:0:0:0:0:0:0:0:0:0,,
2:00:00 (C),,0:93:4:0:2:0:0:0:0:0:0:0:0:0:0,0:75:8:0:4:0:0:0:1:0:0:0:0:0:0,,
3:00:00 (C),,0:59:6:0:1:0:0:0:0:0:0:0:0:0:0,0:48:8:0:0:0:0:0:0:0:0:0:0:0:0,,
4:00:00 (C),,0:72:5:0:2:0:0:0:0:0:0:0:0:0:0,0:76:12:0:0:0:0:0:0:0:0:0:0:0:0,,
5:00:00 (C),,0:175:17:0:2:2:0:0:0:0:0:0:0:0:0,1:140:15:0:6:0:0:0:0:0:0:0:0:0:0,,
6:00:00 (C),,2:792:68:0:14:3:0:0:0:0:0:0:0:0:0,1:402:29:2:6:1:0:0:0:0:0:0:0:0:0,,
7:00:00 (C),,3:1027:42:3:7:0:2:1:2:0:0:0:0:0:0,2:845:33:1:4:3:0:0:0:0:0:0:0:0:0,,
8:00:00 (C),,0:1083:36:2:7:2:1:1:1:0:0:0:0:0:0,5:637:34:0:8:3:0:0:0:0:0:0:0:0:0,,
9:00:00 (C),,2:946:28:5:5:2:0:0:0:0:1:0:0:0:0,0:738:55:1:19:2:0:2:0:0:0:0:0:0:0,,
10:00:00 (C),,2:853:68:2:16:3:0:2:0:0:0:0:0:0:0,4:697:67:1:19:6:0:1:0:0:0:0:0:0:0,,
11:00:00 (C),,3:970:119:0:18:3:0:1:1:0:0:0:0:0:0,5:679:69:3:10:4:0:1:0:0:0:0:0:0:0,,
12:00:00 (C),,5:1070:99:1:21:2:1:2:1:0:0:0:0:0:0,0:810:66:1:12:1:1:0:0:0:0:0:0:0:0,,
13:00:00 (C),,3:887:98:1:17:1:1:1:1:0:0:0:0:0:0,3:862:60:0:10:3:0:0:0:0:0:0:0:0:0,,
14:00:00 (C),,2:1087:104:1:19:3:2:0:0:0:0:0:0:0:0,2:1081:96:3:12:7:0:0:0:0:0:0:0:0:0,,
15:00:00 (C),,4:1265:139:2:18:1:2:2:1:1:0:0:0:0:0,2:1214:58:5:10:6:5:0:0:0:0:0:0:0:0,,
16:00:00 (C),2:1678:126:2:19:4:1:0:0:0:0:0:0:0:0,7:1517:109:2:10:4:3:0:0:0:0:0:0:0:0,,,
17:00:00 (C),5:1721:101:1:6:4:6:1:0:0:0:0:0:0:0,2:1470:77:1:13:5:1:0:0:0:0:0:0:0:0,,,
18:00:00 (C),10:1548:91:2:8:3:0:1:0:1:0:0:0:0:0,7:1396:86:2:14:4:1:0:0:0:0:0:0:0:0,,,
19:00:00(C),2:1367:81:0:19:4:0:1:0:0:0:0:0:0:0,9:1223:85:1:16:0:0:0:0:1:0:0:0:0:0,,,
20:00:00 (C),7:951:48:0:8:0:0:0:0:0:0:0:0:0:0,3:954:68:0:8:2:0:0:0:0:0:0:0:0:0,,,
21:00:00 (C),14:592:38:0:8:3:0:0:0:0:0:0:0:0:0,5:703:34:0:13:0:0:0:0:0:0:0:0:0:0,,,
22:00:00 (C),5:439:29:0:5:2:0:0:0:0:0:0:0:0:0,7:520:37:0:4:1:0:0:0:0:0:0:0:0:0,,,
23:00:00 (C),10:318:19:1:5:0:0:0:0:0:0:0:0:0:0,4:311:18:1:4:3:0:0:0:0:0:0:0:0:0,,,
