Point: ,121-5596,,,,,
Location: ,"33.7659602769325, -84.371927904426",,,,,
Road-Type: ,Minor Arterial,,,,,
Day: ,Tue,Wed,Thu,Tue,Wed,Thu
Date:,2023-09-12,2023-09-13,2023-09-14,2023-11-14,2023-11-15,2023-11-16
12:00:00 (V),,333,357,,295,383
1:00:00 (V),,227,231,,190,233
2:00:00 (V),,110,146,,96,152
3:00:00 (V),,104,131,,100,123
4:00:00 (V),,116,125,,112,151
5:00:00 (V),,235,242,218,219,0
6:00:00 (V),,515,534,500,496,
7:00:00 (V),,1068,1054,1157,1114,
8:00:00 (V),,1399,1327,1289,1331,
9:00:00 (V),,1285,1276,1223,1379,
10:00:00 (V),,1271,1197,1136,1198,
11:00:00 (V),,1194,1223,1236,1272,
12:00:00 (V),,1339,1349,1391,1511,
13:00:00 (V),,1349,1220,1449,1474,
14:00:00 (V),,1433,1447,1480,1524,
15:00:00 (V),,1573,1517,1520,1451,
16:00:00 (V),,1621,1509,1592,1524,
17:00:00 (V),,1608,1404,1566,1653,
18:00:00 (V),1541,1509,0,1536,1594,
19:00:00(V),1371,1366,,1300,1387,
20:00:00 (V),1123,1158,,1064,1056,
21:00:00 (V),905,1063,,955,907,
22:00:00 (V),699,781,,811,770,
23:00:00 (V),487,454,,490,585,
,,,,,,
12:00:00 (C),,7:306:18:0:1:1:0:0:0:0:0:0:0:0:0,1:332:22:0:2:0:0:0:0:0:0:0:0:0:0,,1:260:31:2:1:0:0:0:0:0:0:0:0:0:0,1:344:33:0:5:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,3:206:11:0:7:0:0:0:0:0:0:0:0:0:0,0:219:10:0:1:1:0:0:0:0:0:0:0:0:0,,0:173:14:0:3:0:0:0:0:0:0:0:0:0:0,1:207:21:0:3:1:0:0:0:0:0:0:0:0:0
2:00:00 (C),,1:97:11:1:0:0:0:0:0:0:0:0:0:0:0,0:130:13:1:0:0:0:0:2:0:0:0:0:0:0,,0:80:11:1:2:0:0:0:2:0:0:0:0:0:0,1:134:12:2:2:0:0:0:1:0:0:0:0:0:0
3:00:00 (C),,0:90:8:1:1:1:0:0:3:0:0:0:0:0:0,3:114:10:0:0:1:0:0:3:0:0:0:0:0:0,,0:82:13:1:2:0:0:0:2:0:0:0:0:0:0,0:108:13:1:0:0:0:0:1:0:0:0:0:0:0
4:00:00 (C),,1:100:11:1:2:0:0:0:1:0:0:0:0:0:0,1:108:14:0:2:0:0:0:0:0:0:0:0:0:0,,0:92:13:1:3:1:0:0:2:0:0:0:0:0:0,1:123:21:1:5:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),,0:203:24:0:6:1:0:0:1:0:0:0:0:0:0,2:217:15:1:4:1:0:0:2:0:0:0:0:0:0,1:180:28:1:6:1:0:0:1:0:0:0:0:0:0,1:183:27:2:4:1:0:0:1:0:0:0:0:0:0,
6:00:00 (C),,1:435:63:6:8:0:0:0:2:0:0:0:0:0:0,2:448:60:10:11:1:0:0:1:1:0:0:0:0:0,2:398:76:7:12:1:1:2:1:0:0:0:0:0:0,1:397:74:7:13:3:0:0:1:0:0:0:0:0:0,
