Point: ,121-6118,,,,,,,,,,,,,,
Location: ,"33.775804, -84.390181",,,,,,,,,,,,,,
Road-Type: ,Minor Arterial ,,,,,,,,,,,,,,
Day: ,Tue,Wed,Thu,Tue,Wed,Thu,,,,,,,,,
Date:,2023-09-12,2023-09-13,2023-09-14,2023-12-05,2023-12-06,2023-12-07,,,,,,,,,
12:00:00 (V),,29,43,,49,39,,,,,,,,,
1:00:00 (V),,24,31,,35,34,,,,,,,,,
2:00:00 (V),,9,35,,13,15,,,,,,,,,
3:00:00 (V),,7,14,,9,9,,,,,,,,,
4:00:00 (V),,9,12,,12,7,,,,,,,,,
5:00:00 (V),,29,35,,26,21,,,,,,,,,
6:00:00 (V),,70,79,,48,61,,,,,,,,,
7:00:00 (V),,136,142,,114,81,,,,,,,,,
8:00:00 (V),,203,180,,178,92,,,,,,,,,
9:00:00 (V),,240,181,,173,163,,,,,,,,,
10:00:00 (V),,222,150,,114,129,,,,,,,,,
11:00:00 (V),,165,174,,166,147,,,,,,,,,
12:00:00 (V),,199,199,,211,207,,,,,,,,,
13:00:00 (V),,214,315,,203,229,,,,,,,,,
14:00:00 (V),,176,369,,189,238,,,,,,,,,
15:00:00 (V),,219,326,,209,262,,,,,,,,,
16:00:00 (V),,231,370,,242,236,,,,,,,,,
17:00:00 (V),,290,338,,267,282,,,,,,,,,
18:00:00 (V),332,240,,,292,280,,,,,,,,,
19:00:00(V),207,183,,,257,186,,,,,,,,,
20:00:00 (V),161,181,,,120,158,,,,,,,,,
21:00:00 (V),137,147,,,90,138,,,,,,,,,
22:00:00 (V),95,101,,,156,123,,,,,,,,,
23:00:00 (V),59,68,,58,89,0,,,,,,,,,
,,,,,,,,,,,,,,,
12:00:00 (C),,4:219:31:7:2:3:0:1:0:0:0:0:0:0:0,4:188:21:5:2:3:0:0:0:0:0:0:0:0:0,,4:44:1:0:0:0:0:0:0:0:0:0:0:0:0,0:36:3:0:0:0:0:0:0:0:0:0:0:0:0,,,,,,,,,
