Point: ,121-6142,,,,,,,,
Location: ,"33.754536, -84.397479",,,,,,,,
Road-Type: ,Minor Arterial,,,,,,,,
Day: ,Tue,Wed,Thu,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2023-09-12,2023-09-13,2023-09-14,2025-06-23,2025-06-24,2025-06-25,2025-08-11,2025-08-12,2025-08-13
0:00:00 (V),,90,42,,30,20,,33,35
1:00:00 (V),,32,38,,14,17,,31,26
2:00:00 (V),,18,12,,14,13,,12,26
3:00:00 (V),,16,14,,14,15,,13,9
4:00:00 (V),,16,16,,12,15,,28,28
5:00:00 (V),,38,26,,78,54,,56,69
6:00:00 (V),,128,106,,155,161,,154,165
7:00:00 (V),,534,316,,221,271,,300,304
8:00:00 (V),,702,622,,303,419,,477,466
9:00:00 (V),,588,438,,309,323,,321,338
10:00:00 (V),,558,216,,189,196,,249,243
11:00:00 (V),,254,220,,182,173,,191,231
12:00:00 (V),,222,304,184,190,,,223,246
13:00:00 (V),,322,345,174,191,,244,253,
14:00:00 (V),,460,722,267,260,,363,453,
15:00:00 (V),,642,1238,434,452,,576,677,
16:00:00 (V),,670,1222,399,524,,576,704,
17:00:00 (V),,716,1054,378,550,,608,618,
18:00:00 (V),,322,862,193,209,,272,287,
19:00:00(V),,168,310,111,111,,136,183,
20:00:00 (V),,128,174,58,132,,116,137,
21:00:00 (V),281,150,,90,83,,111,96,
22:00:00 (V),988,108,,64,66,,115,90,
23:00:00 (V),232,76,,66,48,,88,87,
,,,,,,,,,
12:00:00 (C),,,,,,,,,
1:00:00 (C),,,,,,,,,
2:00:00 (C),,,,,,,,,
3:00:00 (C),,,,,,,,,
4:00:00 (C),,,,,,,,,
5:00:00 (C),,,,,,,,,
6:00:00 (C),,,,,,,,,
7:00:00 (C),,,,,,,,,
8:00:00 (C),,,,,,,,,
9:00:00 (C),,,,,,,,,
10:00:00 (C),,,,,,,,,
11:00:00 (C),,,,,,,,,
12:00:00 (C),,,,,,,,,
13:00:00 (C),,,,,,,,,
14:00:00 (C),,,,,,,,,
15:00:00 (C),,,,,,,,,
16:00:00 (C),,,,,,,,,
17:00:00 (C),,,,,,,,,
18:00:00 (C),,,,,,,,,
19:00:00(C),,,,,,,,,
20:00:00 (C),,,,,,,,,
21:00:00 (C),,,,,,,,,
22:00:00 (C),,,,,,,,,
23:00:00 (C),,,,,,,,,
