Point: ,121-7259,,
Location: ,"33.742247, -84.381539",,
Road-Type: ,Local,,
Day: ,Mon,Tue,Wed
Date:,2025-03-24,2025-03-25,2025-03-26
0:00:00 (V),,10,2
1:00:00 (V),,6,3
2:00:00 (V),,3,5
3:00:00 (V),,1,2
4:00:00 (V),,5,3
5:00:00 (V),,4,8
6:00:00 (V),,8,8
7:00:00 (V),,28,27
8:00:00 (V),,53,49
9:00:00 (V),,38,31
10:00:00 (V),,16,27
11:00:00 (V),,30,30
12:00:00 (V),,41,31
13:00:00 (V),,33,50
14:00:00 (V),,36,48
15:00:00 (V),,50,52
16:00:00 (V),,63,68
17:00:00 (V),,44,69
18:00:00 (V),41,52,
19:00:00(V),18,37,
20:00:00 (V),25,31,
21:00:00 (V),20,33,
22:00:00 (V),13,20,
23:00:00 (V),10,5,
,,,
12:00:00 (C),,0:9:1:0:0:0:0:0:0:0:0:0:0:0:0,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:1:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),,0:2:2:0:0:0:0:0:0:0:0:0:0:0:0,0:7:0:0:0:1:0:0:0:0:0:0:0:0:0
6:00:00 (C),,0:7:1:0:0:0:0:0:0:0:0:0:0:0:0,0:5:3:0:0:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,0:23:5:0:0:0:0:0:0:0:0:0:0:0:0,1:23:3:0:0:0:0:0:0:0:0:0:0:0:0
8:00:00 (C),,2:47:4:0:0:0:0:0:0:0:0:0:0:0:0,0:43:4:0:1:1:0:0:0:0:0:0:0:0:0
9:00:00 (C),,0:30:4:2:1:1:0:0:0:0:0:0:0:0:0,0:27:4:0:0:0:0:0:0:0:0:0:0:0:0
10:00:00 (C),,0:12:2:0:0:2:0:0:0:0:0:0:0:0:0,0:19:7:0:1:0:0:0:0:0:0:0:0:0:0
11:00:00 (C),,0:25:4:0:1:0:0:0:0:0:0:0:0:0:0,0:23:7:0:0:0:0:0:0:0:0:0:0:0:0
12:00:00 (C),,0:31:8:0:1:1:0:0:0:0:0:0:0:0:0,1:17:12:1:0:0:0:0:0:0:0:0:0:0:0
13:00:00 (C),,0:29:4:0:0:0:0:0:0:0:0:0:0:0:0,1:41:5:0:3:0:0:0:0:0:0:0:0:0:0
14:00:00 (C),,0:28:5:1:2:0:0:0:0:0:0:0:0:0:0,1:31:13:2:1:0:0:0:0:0:0:0:0:0:0
15:00:00 (C),,1:35:11:1:2:0:0:0:0:0:0:0:0:0:0,0:44:8:0:0:0:0:0:0:0:0:0:0:0:0
16:00:00 (C),,0:53:9:0:1:0:0:0:0:0:0:0:0:0:0,1:56:7:1:3:0:0:0:0:0:0:0:0:0:0
17:00:00 (C),,0:40:4:0:0:0:0:0:0:0:0:0:0:0:0,0:63:5:0:1:0:0:0:0:0:0:0:0:0:0
18:00:00 (C),0:32:8:0:1:0:0:0:0:0:0:0:0:0:0,1:45:5:0:1:0:0:0:0:0:0:0:0:0:0,
19:00:00(C),0:16:2:0:0:0:0:0:0:0:0:0:0:0:0,0:32:5:0:0:0:0:0:0:0:0:0:0:0:0,
20:00:00 (C),0:21:4:0:0:0:0:0:0:0:0:0:0:0:0,2:27:2:0:0:0:0:0:0:0:0:0:0:0:0,
21:00:00 (C),0:17:2:0:1:0:0:0:0:0:0:0:0:0:0,0:29:4:0:0:0:0:0:0:0:0:0:0:0:0,
22:00:00 (C),0:12:1:0:0:0:0:0:0:0:0:0:0:0:0,0:16:4:0:0:0:0:0:0:0:0:0:0:0:0,
23:00:00 (C),0:9:1:0:0:0:0:0:0:0:0:0:0:0:0,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0,
