Point: ,121-5684,,
Location: ,"33.748401, -84.417551",,
Road-Type: ,Major Collector,,
Day: ,Wed,Thu,Fri
Date:,2023-02-15,2023-02-16,2023-02-17
0:00:00 (V),,396,424
1:00:00 (V),,280,285
2:00:00 (V),,206,202
3:00:00 (V),158,174,
4:00:00 (V),151,199,
5:00:00 (V),395,395,
6:00:00 (V),687,699,
7:00:00 (V),1163,1134,
8:00:00 (V),1515,1471,
9:00:00 (V),1276,1345,
10:00:00 (V),1133,1191,
11:00:00 (V),1103,1192,
12:00:00 (V),1372,1392,
13:00:00 (V),1296,1367,
14:00:00 (V),1375,1420,
15:00:00 (V),1448,1494,
16:00:00 (V),1398,1503,
17:00:00 (V),1525,1481,
18:00:00 (V),1483,1527,
19:00:00(V),1413,1353,
20:00:00 (V),1073,1076,
21:00:00 (V),919,960,
22:00:00 (V),894,899,
23:00:00 (V),651,597,
,,,
12:00:00 (C),,0:332:49:12:3:0:0:0:0:0:0:0:0:0:0,1:368:40:8:5:1:0:0:1:0:0:0:0:0:0
1:00:00 (C),,0:250:29:0:1:0:0:0:0:0:0:0:0:0:0,0:241:40:0:4:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:172:25:2:6:1:0:0:0:0:0:0:0:0:0,0:175:23:0:4:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),0:123:29:2:1:3:0:0:0:0:0:0:0:0:0,0:144:28:0:0:2:0:0:0:0:0:0:0:0:0,
4:00:00 (C),0:114:29:2:2:3:0:1:0:0:0:0:0:0:0,0:153:39:1:5:1:0:0:0:0:0:0:0:0:0,
5:00:00 (C),0:295:83:11:4:2:0:0:0:0:0:0:0:0:0,0:288:86:8:9:2:0:2:0:0:0:0:0:0:0,
6:00:00 (C),1:514:138:15:13:4:0:1:0:1:0:0:0:0:0,0:513:149:12:20:3:0:0:2:0:0:0:0:0:0,
7:00:00 (C),2:944:157:18:25:15:0:1:1:0:0:0:0:0:0,1:928:153:14:27:6:1:2:2:0:0:0:0:0:0,
8:00:00 (C),2:1234:206:17:35:16:2:0:2:1:0:0:0:0:0,3:1176:229:15:35:6:1:2:3:0:1:0:0:0:0,
9:00:00 (C),6:1027:167:18:29:18:2:6:2:1:0:0:0:0:0,1:1073:206:19:37:2:0:6:1:0:0:0:0:0:0,
10:00:00 (C),0:860:190:16:41:16:0:4:6:0:0:0:0:0:0,1:949:184:10:37:6:0:3:1:0:0:0:0:0:0,
11:00:00 (C),1:837:185:11:44:17:1:6:1:0:0:0:0:0:0,3:944:185:15:31:7:1:4:2:0:0:0:0:0:0,
12:00:00 (C),1:1111:190:14:30:20:0:2:3:0:0:0:1:0:0,2:1128:199:16:30:9:1:4:3:0:0:0:0:0:0,
13:00:00 (C),1:1017:196:22:33:15:3:6:3:0:0:0:0:0:0,2:1106:186:19:43:8:0:0:3:0:0:0:0:0:0,
14:00:00 (C),0:1106:200:13:34:19:1:0:2:0:0:0:0:0:0,4:1149:196:14:37:10:1:5:4:0:0:0:0:0:0,
15:00:00 (C),4:1216:163:17:29:13:1:4:1:0:0:0:0:0:0,5:1262:174:7:35:6:1:2:2:0:0:0:0:0:0,
16:00:00 (C),5:1220:134:13:13:7:4:1:1:0:0:0:0:0:0,4:1292:155:6:32:10:3:0:1:0:0:0:0:0:0,
17:00:00 (C),4:1325:154:13:20:7:2:0:0:0:0:0:0:0:0,8:1307:139:9:13:3:1:0:1:0:0:0:0:0:0,
18:00:00 (C),1:1280:177:6:14:2:1:1:0:0:0:0:1:0:0,4:1307:178:9:21:2:2:3:1:0:0:0:0:0:0,
19:00:00(C),2:1236:136:10:22:1:3:2:1:0:0:0:0:0:0,2:1163:157:11:14:3:1:1:1:0:0:0:0:0:0,
20:00:00 (C),0:930:114:10:15:2:0:0:2:0:0:0:0:0:0,2:946:112:6:4:3:3:0:0:0:0:0:0:0:0,
21:00:00 (C),1:814:85:8:5:4:0:2:0:0:0:0:0:0:0,2:841:90:8:16:3:0:0:0:0:0:0:0:0:0,
22:00:00 (C),3:760:106:13:9:1:1:1:0:0:0:0:0:0:0,1:802:80:5:5:6:0:0:0:0:0:0:0:0:0,
23:00:00 (C),2:556:71:10:9:2:1:0:0:0:0:0:0:0:0,1:514:55:15:8:2:0:0:2:0:0:0:0:0:0,
