Point: ,121-5697,,,,
Location: ,"33.69006975, -84.489071",,,,
Road-Type: ,Major Collector,,,,
Day: ,Tue,Wed,Thu,Wed,Thu
Date:,2022-06-28,2022-06-29,2022-06-30,2025-10-01,2025-10-02
0:00:00 (V),,282,335,295,278
1:00:00 (V),,170,213,175,166
2:00:00 (V),,149,140,134,136
3:00:00 (V),,150,138,123,124
4:00:00 (V),,168,190,154,162
5:00:00 (V),,289,315,356,366
6:00:00 (V),,505,543,728,704
7:00:00 (V),,958,962,1418,1439
8:00:00 (V),,1230,1254,1491,1521
9:00:00 (V),,1304,1459,1314,1295
10:00:00 (V),,1485,1639,1385,1331
11:00:00 (V),,1535,1737,1624,1482
12:00:00 (V),1797,1816,,1814,1670
13:00:00 (V),1884,1873,,1840,1823
14:00:00 (V),1959,1949,,1907,1954
15:00:00 (V),2057,2034,,2180,2064
16:00:00 (V),2091,1984,,2154,2154
17:00:00 (V),2257,2218,,2110,1986
18:00:00 (V),1885,2010,,1869,1971
19:00:00(V),1626,1806,,1706,1708
20:00:00 (V),1229,1465,,1436,1336
21:00:00 (V),1004,1105,,1045,1000
22:00:00 (V),725,751,,689,672
23:00:00 (V),512,517,,465,466
,,,,,
12:00:00 (C),,,,1:239:33:9:7:3:0:0:3:0:0:0:0:0:0,2:228:32:8:6:0:0:2:0:0:0:0:0:0:0
1:00:00 (C),,,,0:148:18:1:3:1:0:1:3:0:0:0:0:0:0,2:140:16:3:4:0:0:1:0:0:0:0:0:0:0
2:00:00 (C),,,,0:115:12:0:2:1:0:0:4:0:0:0:0:0:0,0:114:12:0:3:4:0:1:2:0:0:0:0:0:0
3:00:00 (C),,,,0:107:11:0:2:1:0:1:1:0:0:0:0:0:0,0:105:14:0:5:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,,,0:120:20:4:6:1:0:0:3:0:0:0:0:0:0,0:122:27:3:6:2:0:0:2:0:0:0:0:0:0
5:00:00 (C),,,,1:257:50:22:11:2:0:5:8:0:0:0:0:0:0,1:261:60:20:13:1:0:4:6:0:0:0:0:0:0
6:00:00 (C),,,,2:518:117:31:39:5:0:1:14:1:0:0:0:0:0,0:480:145:27:27:5:0:9:11:0:0:0:0:0:0
7:00:00 (C),,,,0:1083:213:42:60:4:0:4:12:0:0:0:0:0:0,1:1081:242:32:52:6:0:8:17:0:0:0:0:0:0
8:00:00 (C),,,,0:1149:229:52:44:2:0:4:11:0:0:0:0:0:0,0:1209:200:46:48:12:0:4:2:0:0:0:0:0:0
9:00:00 (C),,,,0:966:237:27:46:8:0:10:20:0:0:0:0:0:0,1:999:204:24:47:6:0:5:9:0:0:0:0:0:0
10:00:00 (C),,,,2:1111:200:16:37:3:0:4:11:1:0:0:0:0:0,1:1006:229:22:55:4:0:4:10:0:0:0:0:0:0
11:00:00 (C),,,,3:1246:260:25:58:8:0:2:22:0:0:0:0:0:0,4:1127:265:17:44:12:0:7:6:0:0:0:0:0:0
12:00:00 (C),,,,3:1441:271:21:52:10:0:10:6:0:0:0:0:0:0,5:1303:256:23:51:10:0:9:13:0:0:0:0:0:0
13:00:00 (C),,,,3:1487:209:23:78:13:0:6:20:1:0:0:0:0:0,1:1403:285:29:71:10:0:7:17:0:0:0:0:0:0
14:00:00 (C),,,,4:1499:269:31:79:6:0:4:15:0:0:0:0:0:0,2:1529:275:31:71:9:0:7:30:0:0:0:0:0:0
15:00:00 (C),,,,1:1698:310:36:69:9:2:12:43:0:0:0:0:0:0,2:1614:322:32:72:3:0:9:10:0:0:0:0:0:0
16:00:00 (C),,,,0:1693:315:33:70:3:0:4:36:0:0:0:0:0:0,2:1591:359:32:95:3:0:13:59:0:0:0:0:0:0
17:00:00 (C),,,,3:1671:298:16:79:4:0:5:34:0:0:0:0:0:0,2:1498:309:19:93:2:0:7:56:0:0:0:0:0:0
18:00:00 (C),,,,3:1382:298:15:92:4:0:15:60:0:0:0:0:0:0,3:1629:258:22:40:0:0:3:15:1:0:0:0:0:0
19:00:00(C),,,,2:1380:219:16:58:5:1:2:23:0:0:0:0:0:0,1:1435:209:16:36:3:0:0:8:0:0:0:0:0:0
20:00:00 (C),,,,8:1179:194:12:26:5:0:3:9:0:0:0:0:0:0,1:1040:223:16:30:6:0:3:17:0:0:0:0:0:0
21:00:00 (C),,,,1:885:116:9:18:6:0:1:9:0:0:0:0:0:0,4:811:138:9:26:2:0:3:7:0:0:0:0:0:0
22:00:00 (C),,,,4:569:93:11:8:1:0:1:2:0:0:0:0:0:0,2:532:104:10:11:7:0:2:4:0:0:0:0:0:0
23:00:00 (C),,,,1:374:62:9:10:2:0:2:5:0:0:0:0:0:0,3:377:61:10:12:1:0:0:2:0:0:0:0:0:0
