Point: ,121-6238,,,,,,,,
Location: ,"33.74198, -84.397664",,,,,,,,
Road-Type: ,Major Collector,,,,,,,,
Day: ,Wed,Thu,Fri,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2023-02-15,2023-02-16,2023-02-17,2025-06-23,2025-06-24,2025-06-25,2025-08-11,2025-08-12,2025-08-13
0:00:00 (V),,158,171,,131,119,,133,101
1:00:00 (V),,128,105,,104,84,,101,60
2:00:00 (V),,81,86,,60,61,,51,47
3:00:00 (V),64,106,,,63,56,,72,44
4:00:00 (V),58,72,,,55,51,,56,54
5:00:00 (V),155,140,,,116,146,,123,112
6:00:00 (V),339,357,,,223,397,,248,271
7:00:00 (V),697,672,,,332,514,,436,459
8:00:00 (V),759,770,,,501,634,,560,577
9:00:00 (V),535,589,,,523,525,,506,492
10:00:00 (V),446,448,,,369,368,,443,424
11:00:00 (V),587,526,,,472,475,,473,498
12:00:00 (V),514,493,,453,492,,408,470,
13:00:00 (V),539,546,,539,519,,449,469,
14:00:00 (V),595,570,,467,616,,535,548,
15:00:00 (V),593,570,,474,537,,516,544,
16:00:00 (V),698,701,,527,572,,594,658,
17:00:00 (V),705,742,,520,602,,524,667,
18:00:00 (V),751,639,,414,421,,465,494,
19:00:00(V),572,482,,362,394,,415,430,
20:00:00 (V),439,362,,383,367,,375,356,
21:00:00 (V),409,357,,289,318,,347,279,
22:00:00 (V),588,349,,248,360,,234,236,
23:00:00 (V),279,255,,224,229,,216,191,
,,,,,,,,,
12:00:00 (C),,0:140:14:0:1:2:0:1:0:0:0:0:0:0:0,0:152:15:1:0:3:0:0:0:0:0:0:0:0:0,,,,,,
1:00:00 (C),,0:107:20:0:0:1:0:0:0:0:0:0:0:0:0,0:86:16:0:1:1:0:0:0:1:0:0:0:0:0,,,,,,
2:00:00 (C),,0:68:12:0:1:0:0:0:0:0:0:0:0:0:0,0:79:7:0:0:0:0:0:0:0:0:0:0:0:0,,,,,,
3:00:00 (C),1:52:8:0:3:0:0:0:0:0:0:0:0:0:0,0:84:19:0:2:1:0:0:0:0:0:0:0:0:0,,,,,,,
4:00:00 (C),0:48:5:1:1:2:0:1:0:0:0:0:0:0:0,0:59:8:0:1:2:0:1:1:0:0:0:0:0:0,,,,,,,
5:00:00 (C),0:123:24:3:2:1:0:1:1:0:0:0:0:0:0,1:102:26:0:4:3:0:1:1:2:0:0:0:0:0,,,,,,,
6:00:00 (C),1:271:49:4:10:3:0:1:0:0:0:0:0:0:0,0:289:50:3:11:4:0:0:0:0:0:0:0:0:0,,,,,,,
7:00:00 (C),0:587:83:1:13:7:1:2:3:0:0:0:0:0:0,2:550:89:1:21:6:0:1:2:0:0:0:0:0:0,,,,,,,
8:00:00 (C),2:646:76:2:22:7:0:1:1:2:0:0:0:0:0,2:651:90:4:13:7:0:0:3:0:0:0:0:0:0,,,,,,,
9:00:00 (C),1:425:75:6:20:8:0:0:0:0:0:0:0:0:0,1:460:83:3:35:5:1:1:0:0:0:0:0:0:0,,,,,,,
10:00:00 (C),1:333:73:5:17:14:0:3:0:0:0:0:0:0:0,2:350:70:2:20:1:0:3:0:0:0:0:0:0:0,,,,,,,
11:00:00 (C),2:477:72:4:17:15:0:0:0:0:0:0:0:0:0,1:393:99:4:25:3:0:1:0:0:0:0:0:0:0,,,,,,,
12:00:00 (C),0:413:69:1:16:8:1:4:1:1:0:0:0:0:0,1:363:96:3:26:3:1:0:0:0:0:0:0:0:0,,,,,,,
13:00:00 (C),2:426:72:3:26:8:1:1:0:0:0:0:0:0:0,3:429:89:1:23:1:0:0:0:0:0:0:0:0:0,,,,,,,
14:00:00 (C),2:467:88:5:22:8:0:2:1:0:0:0:0:0:0,3:451:87:1:24:2:1:0:1:0:0:0:0:0:0,,,,,,,
15:00:00 (C),1:481:95:1:13:2:0:0:0:0:0:0:0:0:0,2:456:88:0:20:3:0:1:0:0:0:0:0:0:0,,,,,,,
16:00:00 (C),0:582:94:1:13:8:0:0:0:0:0:0:0:0:0,3:585:95:3:10:4:0:1:0:0:0:0:0:0:0,,,,,,,
17:00:00 (C),1:588:91:2:17:5:0:1:0:0:0:0:0:0:0,2:626:98:0:13:3:0:0:0:0:0:0:0:0:0,,,,,,,
18:00:00 (C),0:636:98:1:11:4:1:0:0:0:0:0:0:0:0,1:530:88:1:8:9:0:1:1:0:0:0:0:0:0,,,,,,,
19:00:00(C),1:496:62:1:7:5:0:0:0:0:0:0:0:0:0,1:399:65:2:9:6:0:0:0:0:0:0:0:0:0,,,,,,,
20:00:00 (C),0:387:42:0:9:1:0:0:0:0:0:0:0:0:0,0:308:42:0:11:1:0:0:0:0:0:0:0:0:0,,,,,,,
21:00:00 (C),1:361:35:0:8:2:0:1:1:0:0:0:0:0:0,0:318:31:0:7:0:0:1:0:0:0:0:0:0:0,,,,,,,
22:00:00 (C),0:486:77:0:8:17:0:0:0:0:0:0:0:0:0,0:301:41:2:1:3:0:0:1:0:0:0:0:0:0,,,,,,,
23:00:00 (C),0:246:26:0:4:3:0:0:0:0:0:0:0:0:0,0:218:33:0:1:3:0:0:0:0:0:0:0:0:0,,,,,,,
