Point: ,121-6253,
Location: ,"33.74201, -84.384926",
Road-Type: ,Major Collector,
Day: ,Tue,Wed
Date:,2025-10-21,2025-10-22
0:00:00 (V),57,53
1:00:00 (V),24,22
2:00:00 (V),6,20
3:00:00 (V),16,18
4:00:00 (V),15,24
5:00:00 (V),63,59
6:00:00 (V),168,189
7:00:00 (V),462,466
8:00:00 (V),479,489
9:00:00 (V),387,376
10:00:00 (V),283,309
11:00:00 (V),378,276
12:00:00 (V),360,359
13:00:00 (V),357,348
14:00:00 (V),430,448
15:00:00 (V),539,545
16:00:00 (V),684,717
17:00:00 (V),808,857
18:00:00 (V),595,716
19:00:00(V),392,520
20:00:00 (V),285,321
21:00:00 (V),179,200
22:00:00 (V),122,183
23:00:00 (V),87,114
,,
12:00:00 (C),0:52:5:0:0:0:0:0:0:0:0:0:0:0:0,0:43:9:0:1:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),0:23:1:0:0:0:0:0:0:0:0:0:0:0:0,0:22:0:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:19:1:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),0:15:0:0:1:0:0:0:0:0:0:0:0:0:0,0:16:2:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),0:15:0:0:0:0:0:0:0:0:0:0:0:0:0,0:19:4:0:1:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),0:49:12:1:1:0:0:0:0:0:0:0:0:0:0,0:46:10:0:3:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),0:145:19:3:1:0:0:0:0:0:0:0:0:0:0,1:162:21:4:1:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),0:376:66:1:18:0:0:1:0:0:0:0:0:0:0,1:381:66:3:14:0:0:1:0:0:0:0:0:0:0
8:00:00 (C),1:401:57:3:16:0:1:0:0:0:0:0:0:0:0,2:409:62:3:13:0:0:0:0:0:0:0:0:0:0
9:00:00 (C),1:304:66:2:14:0:0:0:0:0:0:0:0:0:0,4:316:50:1:4:1:0:0:0:0:0:0:0:0:0
10:00:00 (C),0:221:48:1:11:1:0:1:0:0:0:0:0:0:0,0:243:45:0:20:0:0:1:0:0:0:0:0:0:0
11:00:00 (C),1:303:62:1:11:0:0:0:0:0:0:0:0:0:0,0:223:41:0:10:2:0:0:0:0:0:0:0:0:0
12:00:00 (C),2:300:51:0:6:0:0:1:0:0:0:0:0:0:0,0:276:66:3:12:1:0:1:0:0:0:0:0:0:0
13:00:00 (C),2:286:51:2:16:0:0:0:0:0:0:0:0:0:0,4:293:39:1:10:1:0:0:0:0:0:0:0:0:0
14:00:00 (C),2:338:76:1:11:0:2:0:0:0:0:0:0:0:0,0:368:66:5:7:0:0:2:0:0:0:0:0:0:0
15:00:00 (C),5:441:66:3:22:1:1:0:0:0:0:0:0:0:0,3:461:60:5:15:0:0:1:0:0:0:0:0:0:0
16:00:00 (C),4:574:85:5:14:1:0:1:0:0:0:0:0:0:0,3:610:85:3:15:1:0:0:0:0:0:0:0:0:0
17:00:00 (C),2:701:88:3:11:0:3:0:0:0:0:0:0:0:0,4:728:106:3:14:0:1:0:1:0:0:0:0:0:0
18:00:00 (C),5:517:58:2:12:0:1:0:0:0:0:0:0:0:0,3:632:74:3:4:0:0:0:0:0:0:0:0:0:0
19:00:00(C),5:332:43:2:10:0:0:0:0:0:0:0:0:0:0,0:447:62:3:7:1:0:0:0:0:0:0:0:0:0
20:00:00 (C),0:255:24:0:6:0:0:0:0:0:0:0:0:0:0,1:278:32:2:8:0:0:0:0:0:0:0:0:0:0
21:00:00 (C),1:155:22:0:1:0:0:0:0:0:0:0:0:0:0,0:183:14:1:2:0:0:0:0:0:0:0:0:0:0
22:00:00 (C),6:108:3:1:4:0:0:0:0:0:0:0:0:0:0,2:155:18:4:4:0:0:0:0:0:0:0:0:0:0
23:00:00 (C),0:77:9:0:1:0:0:0:0:0:0:0:0:0:0,0:100:14:0:0:0:0:0:0:0:0:0:0:0:0
