Point: ,121-5084,,,,
Location: ,"33.7724659, -84.37683335",,,,
Road-Type: ,Principal Arterial,,,,
Day: ,Tue,Wed,Thu,Wed,Thu
Date:,2022-05-24,2022-05-25,2022-05-26,2025-10-01,2025-10-02
0:00:00 (V),,431,529,408,393
1:00:00 (V),,296,269,230,258
2:00:00 (V),,181,246,160,160
3:00:00 (V),,114,134,122,119
4:00:00 (V),,157,141,148,134
5:00:00 (V),,294,225,328,345
6:00:00 (V),,729,720,853,855
7:00:00 (V),,1368,1260,1416,1419
8:00:00 (V),,1628,1539,1647,1788
9:00:00 (V),,1423,1411,1411,1500
10:00:00 (V),,1297,1379,1197,1322
11:00:00 (V),,1310,1457,1379,1360
12:00:00 (V),,1338,1670,1532,1411
13:00:00 (V),,1431,1640,1514,1340
14:00:00 (V),,1363,1623,1495,1403
15:00:00 (V),,1462,1717,1662,1419
16:00:00 (V),,1629,1751,1823,1843
17:00:00 (V),,1872,1838,1971,1985
18:00:00 (V),,1785,1692,1845,1812
19:00:00(V),,1483,1540,1590,1605
20:00:00 (V),,1137,1224,1254,1237
21:00:00 (V),1090,1072,,936,954
22:00:00 (V),870,870,,838,776
23:00:00 (V),606,628,,563,596
,,,,,
12:00:00 (C),,0:389:38:4:0:0:0:0:0:0:0:0:0:0:0,3:483:31:5:2:1:1:1:2:0:0:0:0:0:0,3:377:19:4:4:1:0:0:0:0:0:0:0:0:0,9:360:20:3:0:1:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:282:14:0:0:0:0:0:0:0:0:0:0:0:0,1:248:18:1:1:0:0:0:0:0:0:0:0:0:0,1:207:13:0:4:4:0:0:1:0:0:0:0:0:0,0:243:13:0:1:1:0:0:0:0:0:0:0:0:0
2:00:00 (C),,1:165:13:0:1:1:0:0:0:0:0:0:0:0:0,0:224:18:3:0:0:0:0:1:0:0:0:0:0:0,0:136:19:0:3:1:0:1:0:0:0:0:0:0:0,3:136:10:0:3:7:0:0:1:0:0:0:0:0:0
3:00:00 (C),,0:107:7:0:0:0:0:0:0:0:0:0:0:0:0,0:126:7:0:0:0:0:0:1:0:0:0:0:0:0,2:100:18:0:1:1:0:0:0:0:0:0:0:0:0,2:107:8:0:1:0:0:0:1:0:0:0:0:0:0
4:00:00 (C),,0:139:15:1:2:0:0:0:0:0:0:0:0:0:0,3:125:7:2:2:0:0:0:2:0:0:0:0:0:0,1:122:18:1:5:1:0:0:0:0:0:0:0:0:0,2:107:13:1:8:2:0:0:1:0:0:0:0:0:0
5:00:00 (C),,1:244:34:7:6:1:0:0:1:0:0:0:0:0:0,1:193:20:4:3:0:2:0:2:0:0:0:0:0:0,1:272:41:6:7:0:0:0:1:0:0:0:0:0:0,2:271:58:8:4:2:0:0:0:0:0:0:0:0:0
6:00:00 (C),,4:608:97:6:12:1:1:0:0:0:0:0:0:0:0,3:621:83:5:6:2:0:0:0:0:0:0:0:0:0,3:725:100:13:7:3:0:0:2:0:0:0:0:0:0,4:719:102:15:11:1:0:1:2:0:0:0:0:0:0
7:00:00 (C),,2:1191:130:5:31:3:3:1:2:0:0:0:0:0:0,6:1100:124:5:21:2:0:2:0:0:0:0:0:0:0,7:1228:143:14:18:2:0:2:2:0:0:0:0:0:0,4:1224:149:17:20:2:0:0:3:0:0:0:0:0:0
8:00:00 (C),,4:1438:140:9:34:2:0:0:0:0:0:0:1:0:0,5:1368:127:8:24:5:0:0:1:0:0:0:1:0:0,8:1449:141:14:25:6:0:0:4:0:0:0:0:0:0,6:1554:181:17:21:2:0:3:4:0:0:0:0:0:0
9:00:00 (C),,6:1191:176:9:31:4:0:2:3:1:0:0:0:0:0,0:1206:146:10:35:9:0:2:2:0:0:0:1:0:0,17:1146:183:16:36:3:0:3:7:0:0:0:0:0:0,17:1259:174:17:27:3:0:2:1:0:0:0:0:0:0
10:00:00 (C),,7:1077:158:8:41:4:0:2:0:0:0:0:0:0:0,5:1136:191:7:36:2:0:2:0:0:0:0:0:0:0,6:949:196:12:25:2:0:1:6:0:0:0:0:0:0,7:1051:209:19:29:4:0:1:2:0:0:0:0:0:0
11:00:00 (C),,7:1095:141:10:42:10:1:2:1:1:0:0:0:0:0,2:1204:205:9:33:2:1:1:0:0:0:0:0:0:0,12:1107:192:8:35:4:0:6:15:0:0:0:0:0:0,28:1103:175:14:30:1:0:4:4:1:0:0:0:0:0
12:00:00 (C),,6:1126:162:8:29:5:1:1:0:0:0:0:0:0:0,4:1424:193:7:37:3:0:1:1:0:0:0:0:0:0,22:1228:228:14:30:4:0:2:4:0:0:0:0:0:0,16:1135:210:13:29:1:0:4:2:1:0:0:0:0:0
13:00:00 (C),,11:1224:158:9:22:5:0:1:1:0:0:0:0:0:0,3:1404:186:5:33:3:3:2:1:0:0:0:0:0:0,31:1244:191:12:27:1:0:2:6:0:0:0:0:0:0,10:1083:199:10:32:2:0:3:1:0:0:0:0:0:0
14:00:00 (C),,2:1184:141:1:32:2:1:0:0:0:0:0:0:0:0,6:1384:191:8:31:2:1:0:0:0:0:0:0:0:0,21:1257:163:12:31:1:0:3:7:0:0:0:0:0:0,15:1164:177:15:22:3:0:3:4:0:0:0:0:0:0
15:00:00 (C),,5:1303:114:8:22:6:0:2:2:0:0:0:0:0:0,4:1518:154:6:28:3:1:2:1:0:0:0:0:0:0,20:1444:149:17:13:2:0:6:11:0:0:0:0:0:0,10:1229:148:15:15:0:0:2:0:0:0:0:0:0:0
16:00:00 (C),,4:1498:100:5:18:1:0:2:1:0:0:0:0:0:0,3:1627:96:2:19:1:1:2:0:0:0:0:0:0:0,24:1580:172:13:19:7:1:1:6:0:0:0:0:0:0,13:1642:146:15:21:3:0:1:1:0:1:0:0:0:0
17:00:00 (C),,5:1729:113:0:19:4:1:1:0:0:0:0:0:0:0,6:1677:140:4:7:2:1:0:0:1:0:0:0:0:0,24:1762:151:18:11:3:0:1:1:0:0:0:0:0:0,14:1830:116:14:7:2:0:2:0:0:0:0:0:0:0
18:00:00 (C),,5:1646:111:7:9:0:4:2:1:0:0:0:0:0:0,11:1558:98:3:18:3:1:0:0:0:0:0:0:0:0,34:1661:128:15:5:1:0:1:0:0:0:0:0:0:0,12:1669:105:17:4:2:0:2:1:0:0:0:0:0:0
19:00:00(C),,2:1382:78:5:11:2:3:0:0:0:0:0:0:0:0,7:1410:99:5:14:3:1:0:0:1:0:0:0:0:0,28:1458:78:12:10:0:0:1:3:0:0:0:0:0:0,13:1484:87:9:9:0:0:2:1:0:0:0:0:0:0
20:00:00 (C),,5:1072:50:2:7:0:1:0:0:0:0:0:0:0:0,4:1133:68:5:6:7:0:0:1:0:0:0:0:0:0,23:1137:77:10:6:0:0:0:1:0:0:0:0:0:0,11:1133:79:8:2:1:0:2:1:0:0:0:0:0:0
21:00:00 (C),7:1004:69:4:5:0:0:1:0:0:0:0:0:0:0,5:1004:52:5:4:2:0:0:0:0:0:0:0:0:0,,18:841:61:12:2:0:0:1:1:0:0:0:0:0:0,13:879:46:11:3:0:0:0:2:0:0:0:0:0:0
22:00:00 (C),8:799:55:4:3:1:0:0:0:0:0:0:0:0:0,4:810:44:4:5:3:0:0:0:0:0:0:0:0:0,,22:746:53:11:4:2:0:0:0:0:0:0:0:0:0,7:700:51:10:6:1:0:0:1:0:0:0:0:0:0
23:00:00 (C),1:547:47:5:4:1:0:0:1:0:0:0:0:0:0,5:565:43:7:6:0:1:0:1:0:0:0:0:0:0,,14:499:34:11:4:0:0:0:1:0:0:0:0:0:0,4:545:31:10:2:4:0:0:0:0:0:0:0:0:0
