Point: ,121-5242,,,,,,,
Location: ,"33.7308469, -84.39301208",,,,,,,
Road-Type: ,Minor Arterial,,,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed,Tue,Wed
Date:,2022-06-20,2022-06-21,2022-06-22,2023-02-13,2023-02-14,2023-02-15,2025-08-26,2025-08-27
0:00:00 (V),,87,96,,47,80,113,67
1:00:00 (V),,61,59,,40,51,49,51
2:00:00 (V),,33,40,,19,26,23,48
3:00:00 (V),,22,33,,21,21,36,26
4:00:00 (V),,40,33,,19,37,75,47
5:00:00 (V),,80,94,,55,71,90,83
6:00:00 (V),,208,222,,146,259,325,353
7:00:00 (V),,510,580,,508,715,1134,1121
8:00:00 (V),,732,783,,757,1046,1265,1376
9:00:00 (V),,564,537,,432,592,756,792
10:00:00 (V),,407,583,,321,362,396,534
11:00:00 (V),,425,348,,342,521,354,393
12:00:00 (V),,388,451,,373,401,532,597
13:00:00 (V),,435,494,417,431,,565,608
14:00:00 (V),,611,597,513,510,,550,548
15:00:00 (V),,590,745,650,581,,673,1023
16:00:00 (V),,613,765,621,919,,919,1179
17:00:00 (V),,738,837,802,945,,1042,1285
18:00:00 (V),,607,522,482,616,,654,665
19:00:00(V),,329,335,280,401,,383,421
20:00:00 (V),,307,294,184,174,,325,285
21:00:00 (V),,212,231,155,152,,251,357
22:00:00 (V),173,192,,127,138,,193,272
23:00:00 (V),127,136,,95,131,,145,172
,,,,,,,,
12:00:00 (C),,0:74:7:0:4:0:0:0:2:0:0:0:0:0:0,1:86:4:0:5:0:0:0:0:0:0:0:0:0:0,,,,0:98:10:4:1:0:0:0:0:0:0:0:0:0:0,0:60:3:3:0:0:0:1:0:0:0:0:0:0:0
1:00:00 (C),,0:56:0:0:3:1:0:0:1:0:0:0:0:0:0,0:52:5:0:0:0:0:0:2:0:0:0:0:0:0,,,,0:45:1:0:2:0:0:0:1:0:0:0:0:0:0,0:46:5:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,1:27:1:0:2:1:0:0:1:0:0:0:0:0:0,0:38:2:0:0:0:0:0:0:0:0:0:0:0:0,,,,0:22:0:0:1:0:0:0:0:0:0:0:0:0:0,0:46:2:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:19:0:0:1:1:0:0:1:0:0:0:0:0:0,0:31:2:0:0:0:0:0:0:0:0:0:0:0:0,,,,0:31:4:0:1:0:0:0:0:0:0:0:0:0:0,0:23:1:0:2:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,1:31:4:0:0:2:0:0:2:0:0:0:0:0:0,0:27:5:0:0:0:0:1:0:0:0:0:0:0:0,,,,2:62:8:1:1:0:0:1:0:0:0:0:0:0:0,2:39:3:0:2:0:0:0:1:0:0:0:0:0:0
5:00:00 (C),,2:64:7:0:1:4:0:0:1:1:0:0:0:0:0,2:80:11:0:0:0:0:0:1:0:0:0:0:0:0,,,,0:75:5:3:4:3:0:0:0:0:0:0:0:0:0,2:63:11:2:3:2:0:0:0:0:0:0:0:0:0
6:00:00 (C),,2:158:34:3:3:3:0:1:3:1:0:0:0:0:0,2:183:23:0:8:4:0:0:2:0:0:0:0:0:0,,,,2:274:31:8:7:0:0:1:2:0:0:0:0:0:0,0:295:38:7:9:0:1:0:3:0:0:0:0:0:0
7:00:00 (C),,1:417:56:5:18:6:1:3:3:0:0:0:0:0:0,2:484:61:3:13:9:1:3:3:1:0:0:0:0:0,,,,3:980:106:13:14:14:0:2:2:0:0:0:0:0:0,2:955:118:13:17:13:0:0:3:0:0:0:0:0:0
8:00:00 (C),,1:612:73:2:24:11:0:2:7:0:0:0:0:0:0,2:676:63:6:25:8:0:1:1:1:0:0:0:0:0,,,,3:1099:121:9:17:11:0:1:4:0:0:0:0:0:0,2:1224:121:6:12:6:0:1:4:0:0:0:0:0:0
