Point: ,121-8459,
Location: ,"33.734206, -84.39034",
Road-Type: ,Local,
Day: ,Wed,Thu
Date:,2024-01-03,2024-01-04
0:00:00 (V),4,4
1:00:00 (V),6,1
2:00:00 (V),4,1
3:00:00 (V),2,3
4:00:00 (V),3,4
5:00:00 (V),1,3
6:00:00 (V),3,11
7:00:00 (V),4,4
8:00:00 (V),3,3
9:00:00 (V),6,11
10:00:00 (V),8,8
11:00:00 (V),10,13
12:00:00 (V),9,7
13:00:00 (V),17,1
14:00:00 (V),14,11
15:00:00 (V),7,9
16:00:00 (V),17,5
17:00:00 (V),13,9
18:00:00 (V),8,10
19:00:00(V),8,22
20:00:00 (V),9,6
21:00:00 (V),7,5
22:00:00 (V),7,8
23:00:00 (V),2,8
,,
12:00:00 (C),0:2:2:0:0:0:0:0:0:0:0:0:0:0:0,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),0:4:0:0:0:0:0:0:0:0:0:0:0:0:0,0:0:1:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),0:0:2:0:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:2:0:0:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:1:0:0:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),0:1:2:0:0:0:0:0:0:0:0:0:0:0:0,0:6:5:0:0:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),0:3:1:0:0:0:0:0:0:0:0:0:0:0:0,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0
8:00:00 (C),0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,0:1:2:0:0:0:0:0:0:0:0:0:0:0:0
9:00:00 (C),0:1:5:0:0:0:0:0:0:0:0:0:0:0:0,0:9:2:0:0:0:0:0:0:0:0:0:0:0:0
10:00:00 (C),0:8:0:0:0:0:0:0:0:0:0:0:0:0:0,0:7:1:0:0:0:0:0:0:0:0:0:0:0:0
11:00:00 (C),0:8:0:0:0:2:0:0:0:0:0:0:0:0:0,1:9:1:0:2:0:0:0:0:0:0:0:0:0:0
12:00:00 (C),0:9:0:0:0:0:0:0:0:0:0:0:0:0:0,1:6:0:0:0:0:0:0:0:0:0:0:0:0:0
13:00:00 (C),0:12:2:0:0:3:0:0:0:0:0:0:0:0:0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0
14:00:00 (C),0:9:5:0:0:0:0:0:0:0:0:0:0:0:0,0:9:2:0:0:0:0:0:0:0:0:0:0:0:0
15:00:00 (C),0:7:0:0:0:0:0:0:0:0:0:0:0:0:0,0:9:0:0:0:0:0:0:0:0:0:0:0:0:0
16:00:00 (C),0:11:6:0:0:0:0:0:0:0:0:0:0:0:0,1:4:0:0:0:0:0:0:0:0:0:0:0:0:0
17:00:00 (C),0:11:2:0:0:0:0:0:0:0:0:0:0:0:0,0:8:1:0:0:0:0:0:0:0:0:0:0:0:0
18:00:00 (C),0:7:1:0:0:0:0:0:0:0:0:0:0:0:0,0:6:4:0:0:0:0:0:0:0:0:0:0:0:0
19:00:00(C),0:7:1:0:0:0:0:0:0:0:0:0:0:0:0,1:18:3:0:0:0:0:0:0:0:0:0:0:0:0
20:00:00 (C),0:2:6:0:1:0:0:0:0:0:0:0:0:0:0,0:5:1:0:0:0:0:0:0:0:0:0:0:0:0
21:00:00 (C),0:6:1:0:0:0:0:0:0:0:0:0:0:0:0,0:4:0:0:1:0:0:0:0:0:0:0:0:0:0
22:00:00 (C),0:6:1:0:0:0:0:0:0:0:0:0:0:0:0,0:6:2:0:0:0:0:0:0:0:0:0:0:0:0
23:00:00 (C),0:1:1:0:0:0:0:0:0:0:0:0:0:0:0,0:2:2:0:4:0:0:0:0:0:0:0:0:0:0
