Point: ,121-8485,,,,
Location: ,"33.734206, -84.39034",,,,
Road-Type: ,Local,,,,
Day: ,Mon,Tue,Wed,Thu,Fri
Date:,2023-09-11,2023-09-12,2023-09-13,2023-09-14,2023-09-15
0:00:00 (V),,2,5,,
1:00:00 (V),,6,3,,
2:00:00 (V),,5,4,,
3:00:00 (V),,1,2,,
4:00:00 (V),,3,2,,
5:00:00 (V),,11,8,,
6:00:00 (V),,25,29,,
7:00:00 (V),,35,40,,
8:00:00 (V),,32,53,,
9:00:00 (V),,38,37,,
10:00:00 (V),,28,25,,
11:00:00 (V),,35,26,,
12:00:00 (V),,33,23,,
13:00:00 (V),,53,31,,
14:00:00 (V),,56,27,,
15:00:00 (V),,46,62,,
16:00:00 (V),,35,50,,
17:00:00 (V),,39,37,,
18:00:00 (V),,22,26,,
19:00:00(V),,23,41,,
20:00:00 (V),,10,47,,
21:00:00 (V),,12,4,,
22:00:00 (V),9,16,,,
23:00:00 (V),2,8,,,
,,,,,
12:00:00 (C),,0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:4:1:0:0:0:0:0:0:0:0:0:0:0:0,,
1:00:00 (C),,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:1:0:0:0:0:0:0:0:0:0:0:0:0,,
2:00:00 (C),,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,,
3:00:00 (C),,,,,
4:00:00 (C),,,0:3:1:0:0:0:0:0:0:0:0:0:0:0:0,,
5:00:00 (C),,0:5:1:0:0:0:0:0:0:0:0:0:0:0:0,0:10:1:0:0:0:0:0:0:0:0:0:0:0:0,,
6:00:00 (C),,0:10:4:0:0:0:0:0:0:0:0:0:0:0:0,0:9:5:0:1:0:0:0:0:0:0:0:0:0:0,,
7:00:00 (C),,0:31:10:0:2:0:0:0:0:0:0:0:0:0:0,1:30:11:0:1:0:0:0:2:0:0:0:0:0:0,,
8:00:00 (C),,0:38:17:0:2:0:0:0:0:0:0:0:0:0:0,1:33:14:0:0:3:0:0:1:0:0:0:0:0:0,,
9:00:00 (C),,0:34:24:0:2:0:0:0:0:0:0:0:0:0:0,0:36:12:0:2:4:0:0:0:0:0:0:0:0:0,,
10:00:00 (C),,0:20:9:0:3:0:0:0:0:0:0:0:0:0:0,0:29:7:0:0:2:0:0:0:0:0:0:0:0:0,,
11:00:00 (C),,1:31:8:0:0:3:0:0:0:0:0:0:0:0:0,1:25:10:0:4:2:0:0:0:1:0:0:0:0:0,,
12:00:00 (C),,0:30:7:0:1:2:0:0:0:0:0:0:0:0:0,2:47:14:0:5:3:0:0:0:0:0:0:0:0:0,,
13:00:00 (C),,1:30:13:0:1:0:0:0:0:0:0:0:0:0:0,2:41:10:0:4:2:0:0:1:0:0:0:0:0:0,,
14:00:00 (C),,0:23:13:2:2:1:0:0:0:0:0:0:0:0:0,0:31:12:0:4:3:0:0:0:0:0:0:0:0:0,,
15:00:00 (C),,0:46:11:0:1:0:0:0:1:0:0:0:0:0:0,1:67:10:1:1:4:0:0:0:0:0:0:0:0:0,,
16:00:00 (C),,1:35:7:0:0:2:0:0:1:0:0:0:0:0:0,1:32:15:0:0:3:0:0:1:0:0:0:0:0:0,,
17:00:00 (C),,0:25:6:0:0:2:0:1:0:0:0:0:0:0:0,0:30:6:0:0:5:0:0:0:0:0:0:0:0:0,,
18:00:00 (C),0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,0:30:7:0:3:0:0:0:4:0:0:0:0:0:0,0:30:7:0:3:0:0:0:4:0:0:0:0:0:0,,
19:00:00(C),0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,0:14:0:0:0:0:0:0:0:0:0:0:0:0:0,0:14:0:0:0:0:0:0:0:0:0:0:0:0:0,,
20:00:00 (C),0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,1:9:2:0:0:0:0:0:0:0:0:0:0:0:0,1:9:2:0:0:0:0:0:0:0:0:0:0:0:0,,
21:00:00 (C),0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,0:15:1:0:1:0:0:0:0:0:0:0:0:0:0,0:15:1:0:1:0:0:0:0:0:0:0:0:0:0,,
22:00:00 (C),0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,0:9:2:0:0:0:0:0:0:0:0:0:0:0:0,0:9:2:0:0:0:0:0:0:0:0:0:0:0:0,,
23:00:00 (C),0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,0:3:2:0:0:0:0:0:0:0:0:0:0:0:0,0:3:2:0:0:0:0:0:0:0:0:0:0:0:0,,
