Point,RouteID,Road Classification,THROUGH_LANESVn
121-5098,1121200347903INC,Minor Arterial ,4
121-5105,1121200358603INC,Minor Arterial ,4
121-6118,1121200067303INC,Minor Arterial ,2
121-5951,1121200183503INC,Minor Arterial ,4
121-5597,1121200052003INC,Minor Arterial ,3
121-5107,1121200358603INC,Minor Arterial ,4
121-5630,1121200186803INC,Minor Arterial ,4
121-5608,1121200186003INC,Minor Arterial ,4
121-5596,1121200052003INC,Minor Arterial ,3
121-5573,1121200174903INC,Minor Arterial ,2
121-5090,1121200346003INC,Minor Arterial ,2
121-6224,1121200202303INC,Minor Arterial ,2
121-5594,1121200052003INC,Minor Arterial ,3
121-5580,1121200174903INC,Minor Arterial ,2
121-5088,1121200346003INC,Minor Arterial ,2
121-5616,1121200369403INC,Minor Arterial ,2
121-5592,1121200052003INC,Minor Arterial ,3
121-5396,1000100015400INC,Minor Arterial ,4
121-7246,1121200169903INC,Minor Arterial ,4
121-5009,1121200347903INC,Minor Arterial ,3
121-5109,1121200358603INC,Minor Arterial ,4
121-5614,1121200179003INC,Minor Arterial ,4
121-5005,1121200358603INC,Minor Arterial ,4
121-0245,1121200200303INC,Minor Arterial ,4
121-5606,1121200186003INC,Minor Arterial ,4
121-5601,1121200140903INC,Minor Arterial ,5
121-5394,1000100015400INC,Minor Arterial ,4
121-5629,1121200186803INC,Minor Arterial ,4
121-0243,1121200611303INC,Minor Arterial ,2
121-6142,1121200379003INC,Minor Arterial ,2
121-5392,1000100015400INC,Minor Arterial ,4
121-5246,1121200358103INC,Minor Arterial ,4
121-5364,1121200347703INC,Minor Arterial ,4
121-5627,1121200186803INC,Minor Arterial ,4
121-5362,1121200347703INC,Minor Arterial ,4
121-5003,1121200243003INC,Minor Arterial ,4
121-5001,1121200347803INC,Minor Arterial ,4
121-5244,1121200358103INC,Minor Arterial ,4
121-8895,1121200243403INC,Minor Arterial ,2
121-5243,1121200358103INC,Minor Arterial ,4
121-5242,1121200348203INC,Minor Arterial ,6
121-5589,1121200052003INC,Minor Arterial ,3
121-5590,1121200052003INC,Minor Arterial ,3
121-5238,1000100005400INC,Minor Arterial ,4
121-5240,1121200348203INC,Minor Arterial ,6
121-5602,1121200140903INC,Minor Arterial ,5
121-5045,1000100000300INC,Minor Arterial ,2
121-5218,1000100001400INC,Minor Arterial ,5
121-5579,1121200232803INC,Minor Arterial ,4
121-5390,1000100013900INC,Minor Arterial ,4
121-5221,11211000003COINC,Minor Arterial ,4
121-5220,1000100001400INC,Minor Arterial ,5
121-5222,1000100001400INC,Minor Arterial ,5
121-6246,1121200239703INC,Minor Arterial ,4
121-0437,1121200379003INC,Minor Arterial ,4
121-6140,1121200955709INC,Minor Arterial ,6
121-0241,1121200379003INC,Minor Arterial ,2
121-5611,1121200179003INC,Minor Arterial ,4
121-5613,1121200179003INC,Minor Arterial ,4
121-6106,1121200058103INC,Major Collector,4
121-5621,1121200066103INC,Major Collector,4
121-6112,1121200061003INC,Major Collector,4
121-0407,11211000154COINC,Major Collector,2
121-7265,1121200355403INC,Major Collector,4
121-6116,1121200066503INC,Major Collector,4
121-5006,1121200348103INC,Major Collector,2
121-6238,1121200225603INC,Major Collector,4
121-6244,1121200236803INC,Major Collector,2
121-6253,1121200225603INC,Major Collector,4
121-0147,1121200226003INC,Major Collector,3
121-6328,1121200354103INC,Major Collector,2
121-6240,1121200225603INC,Major Collector,4
121-0145,1121200222703INC,Major Collector,2
121-6234,1121200222603INC,Major Collector,2
121-6186,1121200354103INC,Major Collector,2
121-0143,1121200142803INC,Major Collector,2
121-5610,1000100005400INC,Major Collector,4
121-6232,1121200222603INC,Major Collector,2
121-5609,1121200327903INC,Major Collector,3
121-5680,1121200165103INC,Major Collector,3
121-7245,1121200114903INC,Major Collector,2
121-5682,1121200165103INC,Major Collector,4
121-6214,1121200197903INC,Major Collector,2
121-6212,1121200197903INC,Major Collector,2
121-5684,1121200165103INC,Major Collector,3
121-5685,1121200165103INC,Major Collector,3
121-6200,1121200163203INC,Major Collector,2
121-5697,1121200307203INC,Major Collector,4
121-0238,1121200611503INC,Major Collector,4
121-6220,1121200200903INC,Local,2
121-8473,1121200205203INC,Local,2
121-8459,1121200189103INC,Local,2
121-8485,1121200230703INC,Local,2
121-7259,1121200344003INC,Local,2
121-8441,1121200158903INC,Local,3
121-6208,1121200179203INC,Local,2
121-8463,1121200192103INC,Local,1
121-8447,1121200167003INC,Local,2
121-8861,1121200176703INC,Local,3
121-8860,1121200170203INC,Local,2
121-5080,1000100000800INC,Principal Arterial,6
121-5081,11211000008WEINC,Principal Arterial,4
121-5083,1000100000800INC,Principal Arterial,6
121-5084,1000100000800INC,Principal Arterial,6
121-0471,1000100001000INC,Principal Arterial,4
121-5012,1000100000800INC,Principal Arterial,6
121-5582,1121200226003INC,Principal Arterial,4
121-5581,1121200226003INC,Principal Arterial,4
121-5047,1000100000300INC,Principal Arterial,6
121-5049,1000100000300INC,Principal Arterial,6
121-5052,1000100000300INC,Principal Arterial,6
121-5054,1000100000300INC,Principal Arterial,6
121-5078,1000100000800INC,Principal Arterial,4
121-5056,1000100000300INC,Principal Arterial,6
